deneyim;egitim;skill;test_skoru;etiket
2;4;11;100;uygun
0;4;0;53;degil
2;4;7;82;uygun
4;4;10;87;uygun
2;1;12;72;uygun
0;4;2;68;degil
4;1;10;85;uygun
9;4;5;80;uygun
6;3;8;70;uygun
6;2;5;65;uygun
10;1;8;68;uygun
8;4;6;82;uygun
9;3;14;100;uygun
9;2;15;92;uygun
2;1;8;76;uygun
6;2;1;51;degil
0;3;11;85;uygun
3;1;7;69;uygun
3;2;7;78;uygun
4;4;1;72;uygun
6;1;11;87;uygun
6;2;13;99;uygun
10;3;3;65;uygun
3;3;13;100;uygun
6;1;14;90;uygun
10;2;10;86;uygun
2;1;14;97;uygun
5;1;6;55;uygun
1;2;10;76;uygun
9;2;3;65;uygun
8;4;15;100;uygun
4;2;3;57;degil
5;3;5;74;uygun
3;1;9;79;uygun
10;1;5;70;uygun
9;3;9;84;uygun
6;2;14;100;uygun
8;3;2;58;uygun
6;3;14;100;uygun
0;4;8;81;uygun
0;3;11;91;uygun
8;1;9;68;uygun
10;3;13;95;uygun
8;1;10;75;uygun
3;1;1;48;degil
8;1;5;62;uygun
2;2;11;90;uygun
6;4;6;69;uygun
5;1;11;88;uygun
7;1;12;85;uygun
10;2;8;83;uygun
8;1;12;88;uygun
4;3;2;65;uygun
0;3;9;90;uygun
2;4;2;67;degil
9;1;6;65;uygun
7;2;13;89;uygun
10;3;3;58;uygun
5;2;12;76;uygun
7;2;7;63;uygun
8;3;12;99;uygun
3;2;6;64;uygun
0;3;4;68;degil
0;2;6;72;degil
9;3;15;94;uygun
3;1;2;55;degil
6;4;11;90;uygun
1;3;1;57;degil
2;3;5;75;uygun
0;4;1;60;degil
4;3;2;51;degil
0;3;5;71;degil
7;2;4;56;uygun
0;4;15;97;uygun
10;1;7;56;uygun
0;3;8;72;uygun
1;4;10;87;uygun
1;2;2;48;degil
5;1;11;77;uygun
6;4;9;78;uygun
4;1;2;51;degil
0;1;2;50;degil
0;1;12;91;uygun
2;3;12;94;uygun
1;3;5;66;degil
4;2;14;83;uygun
9;2;14;90;uygun
5;4;0;65;uygun
6;2;6;70;uygun
3;1;11;76;uygun
6;1;0;54;degil
10;3;13;87;uygun
7;1;4;56;uygun
10;4;14;100;uygun
0;1;9;78;uygun
5;1;12;84;uygun
7;4;7;84;uygun
4;2;3;50;degil
3;2;4;72;uygun
1;4;3;78;uygun
5;3;11;88;uygun
5;1;11;83;uygun
10;4;13;100;uygun
0;1;3;49;degil
8;3;11;96;uygun
10;1;7;60;uygun
5;4;1;56;uygun
2;1;0;49;degil
3;2;2;49;degil
10;3;15;100;uygun
3;3;8;78;uygun
2;3;3;56;degil
9;4;9;81;uygun
2;3;4;62;degil
2;2;1;63;degil
3;4;15;100;uygun
6;2;3;55;uygun
3;1;1;58;degil
8;1;14;86;uygun
0;1;1;43;degil
7;1;3;57;uygun
6;2;5;58;uygun
1;4;6;80;uygun
7;4;9;96;uygun
0;3;2;67;degil
10;2;2;52;uygun
8;1;9;65;uygun
8;2;5;68;uygun
1;3;12;83;uygun
6;3;11;82;uygun
9;2;2;61;uygun
2;2;12;95;uygun
6;2;1;46;degil
9;4;7;72;uygun
8;1;4;64;uygun
3;2;14;100;uygun
0;2;0;58;degil
1;2;2;62;degil
0;3;9;85;uygun
4;3;7;84;uygun
4;4;3;71;uygun
10;1;15;91;uygun
6;4;13;94;uygun
8;1;6;73;uygun
8;3;9;75;uygun
2;3;11;96;uygun
2;3;13;99;uygun
2;4;13;100;uygun
3;2;1;46;degil
7;2;6;74;uygun
5;3;4;57;uygun
7;2;4;69;uygun
0;2;5;74;degil
7;4;12;100;uygun
3;1;8;73;uygun
10;3;13;94;uygun
0;3;5;72;degil
7;4;11;83;uygun
3;4;12;100;uygun
5;2;14;87;uygun
7;3;13;87;uygun
3;1;7;75;uygun
2;4;6;83;uygun
8;1;8;73;uygun
2;1;3;58;degil
8;3;1;53;uygun
1;3;6;77;uygun
1;4;5;78;uygun
1;3;0;55;degil
5;3;10;81;uygun
2;3;8;77;uygun
8;1;8;74;uygun
3;4;11;87;uygun
0;2;1;62;degil
3;1;2;50;degil
0;3;4;74;degil
4;1;4;49;degil
3;3;14;99;uygun
7;3;0;55;uygun
7;1;7;72;uygun
6;4;11;95;uygun
2;3;7;71;uygun
0;4;3;75;degil
0;2;12;88;uygun
10;3;6;81;uygun
2;4;14;100;uygun
5;4;14;100;uygun
6;2;10;79;uygun
5;4;9;79;uygun
5;4;2;69;uygun
5;2;5;73;uygun
2;3;13;88;uygun
5;4;15;99;uygun
7;4;9;96;uygun
10;4;12;100;uygun
10;1;9;82;uygun
1;2;11;82;uygun
4;1;13;78;uygun
0;2;8;67;degil
0;3;0;50;degil
4;3;4;60;uygun
2;4;3;65;uygun
3;2;7;67;uygun
2;3;10;92;uygun
0;2;11;75;uygun
0;3;0;45;degil
4;1;8;62;uygun
5;3;15;95;uygun
2;1;5;58;degil
8;3;3;67;uygun
4;4;11;94;uygun
7;1;8;78;uygun
0;3;10;78;uygun
4;4;4;82;uygun
2;1;14;88;uygun
0;4;4;71;degil
3;2;11;79;uygun
4;2;4;54;degil
6;1;0;48;degil
0;3;0;54;degil
2;1;7;71;uygun
1;4;11;98;uygun
8;3;7;75;uygun
9;2;11;85;uygun
5;3;14;92;uygun
9;2;14;93;uygun
2;3;5;68;uygun
7;3;11;90;uygun
7;3;10;78;uygun
1;4;12;96;uygun
5;4;3;78;uygun
6;1;1;55;degil
1;1;13;84;uygun
10;2;1;63;uygun
9;4;8;77;uygun
1;2;14;99;uygun
9;1;4;47;uygun
0;2;3;55;degil
7;1;9;67;uygun
0;4;12;100;uygun
8;3;0;62;uygun
10;4;6;78;uygun
5;2;2;65;degil
6;2;5;69;uygun
9;4;4;77;uygun
6;4;4;68;uygun
9;1;10;85;uygun
2;2;4;61;degil
1;2;0;51;degil
8;4;0;63;uygun
7;3;2;55;uygun
9;2;13;99;uygun
6;3;11;95;uygun
8;4;9;81;uygun
3;4;3;61;uygun
3;1;4;51;degil
0;2;1;59;degil
7;3;7;84;uygun
2;1;10;83;uygun
6;2;10;90;uygun
1;1;13;85;uygun
1;4;1;61;degil
6;2;8;64;uygun
5;1;1;55;degil
2;1;12;91;uygun
8;3;8;72;uygun
9;1;6;62;uygun
5;2;14;88;uygun
9;2;7;61;uygun
9;3;14;100;uygun
5;2;10;71;uygun
0;4;1;63;degil
3;2;6;66;uygun
9;2;11;79;uygun
5;1;5;66;uygun
5;1;3;60;degil
10;2;6;59;uygun
4;3;15;95;uygun
0;1;13;87;uygun
7;3;12;86;uygun
4;2;3;50;degil
4;2;15;85;uygun
6;4;1;62;uygun
3;1;9;82;uygun
5;2;11;77;uygun
3;4;6;69;uygun
2;1;7;71;uygun
6;2;1;44;degil
7;2;4;61;uygun
3;1;0;36;degil
1;1;6;68;degil
9;1;7;71;uygun
2;2;12;94;uygun
0;2;15;91;uygun
7;4;5;76;uygun
2;3;4;71;uygun
9;1;14;84;uygun
6;2;5;60;uygun
9;2;14;91;uygun
4;1;1;40;degil
9;3;0;63;uygun
4;1;6;69;uygun
6;3;6;69;uygun
8;2;9;87;uygun
4;3;10;94;uygun
0;4;9;80;uygun
9;2;13;92;uygun
9;4;1;72;uygun
0;1;1;52;degil
1;1;0;42;degil
5;1;9;82;uygun
8;3;7;80;uygun
7;2;14;100;uygun
4;1;7;69;uygun
0;1;0;43;degil
6;2;11;80;uygun
4;1;10;81;uygun
5;4;7;72;uygun
6;2;8;66;uygun
2;2;13;86;uygun
9;2;3;60;uygun
2;4;0;50;degil
4;2;0;49;degil
5;4;2;75;uygun
8;2;14;84;uygun
4;3;15;95;uygun
0;1;13;80;uygun
3;3;4;76;uygun
4;1;15;97;uygun
9;4;4;72;uygun
9;3;8;87;uygun
4;2;9;71;uygun
6;1;13;92;uygun
3;1;11;78;uygun
0;3;1;59;degil
4;4;1;62;uygun
6;3;15;97;uygun
9;4;5;73;uygun
9;4;14;95;uygun
5;1;8;63;uygun
4;3;0;65;degil
3;3;8;76;uygun
1;4;8;82;uygun
3;3;15;100;uygun
9;2;12;90;uygun
9;2;8;79;uygun
2;3;4;70;uygun
9;3;12;88;uygun
0;4;14;100;uygun
7;2;8;73;uygun
4;2;10;89;uygun
3;1;3;49;degil
7;4;1;64;uygun
6;1;12;72;uygun
1;2;5;61;degil
0;4;13;100;uygun
10;3;3;56;uygun
3;4;5;77;uygun
7;3;2;53;uygun
1;3;5;77;uygun
2;4;1;63;degil
0;3;1;55;degil
0;1;12;76;uygun
2;2;8;64;uygun
10;3;6;63;uygun
4;1;2;48;degil
2;3;12;85;uygun
0;2;10;85;uygun
0;1;0;45;degil
7;2;7;65;uygun
9;2;13;82;uygun
10;1;5;55;uygun
1;1;6;66;degil
2;1;8;77;uygun
1;4;4;70;uygun
2;1;14;88;uygun
6;1;0;45;degil
0;1;11;81;uygun
9;1;9;77;uygun
7;3;6;63;uygun
9;4;14;100;uygun
9;2;4;72;uygun
9;1;2;61;uygun
1;3;11;90;uygun
2;3;12;82;uygun
8;3;8;72;uygun
6;2;0;45;degil
3;1;0;39;degil
9;4;15;97;uygun
4;4;0;50;degil
1;3;2;54;degil
10;2;11;92;uygun
7;2;5;56;uygun
3;2;9;71;uygun
8;4;10;82;uygun
4;3;2;59;degil
8;1;7;75;uygun
3;4;13;94;uygun
9;3;13;100;uygun
4;3;9;77;uygun
8;1;1;56;degil
7;1;13;85;uygun
2;1;8;69;uygun
0;2;2;47;degil
2;1;4;61;degil
3;3;9;83;uygun
1;1;7;67;degil
0;3;15;98;uygun
6;4;1;73;uygun
7;2;5;56;uygun
6;4;11;85;uygun
4;4;4;73;uygun
0;3;12;96;uygun
6;4;9;97;uygun
6;3;8;69;uygun
8;1;11;88;uygun
2;1;4;49;degil
8;3;1;67;uygun
0;1;15;81;uygun
0;2;4;60;degil
3;4;14;100;uygun
8;2;11;87;uygun
5;4;3;76;uygun
10;1;14;87;uygun
2;2;10;85;uygun
0;1;15;96;uygun
3;4;6;72;uygun
8;3;5;71;uygun
2;3;13;94;uygun
8;2;1;57;uygun
6;1;11;70;uygun
3;1;10;65;uygun
2;2;10;89;uygun
9;3;12;96;uygun
4;4;4;63;uygun
4;2;6;59;uygun
2;4;10;82;uygun
8;3;6;70;uygun
3;1;15;94;uygun
10;3;14;93;uygun
4;2;4;57;degil
3;1;11;76;uygun
4;2;14;100;uygun
6;2;8;64;uygun
8;3;3;61;uygun
6;2;10;72;uygun
4;3;2;54;degil
9;1;14;91;uygun
9;3;3;59;uygun
6;1;4;61;uygun
9;3;12;100;uygun
4;4;5;67;uygun
2;4;2;76;uygun
6;2;1;63;degil
10;3;13;97;uygun
10;3;12;100;uygun
1;1;3;57;degil
8;2;15;88;uygun
9;3;4;68;uygun
9;2;3;65;uygun
0;4;13;95;uygun
5;3;10;83;uygun
6;3;12;83;uygun
7;2;14;94;uygun
9;3;11;92;uygun
8;2;2;63;uygun
1;3;7;84;uygun
10;1;15;80;uygun
9;2;9;72;uygun
1;3;3;55;degil
4;4;13;100;uygun
4;3;1;53;degil
5;4;1;66;uygun
2;4;0;53;degil
7;1;12;91;uygun
0;2;3;56;degil
5;3;9;74;uygun
3;1;8;77;uygun
0;3;13;97;uygun
6;4;10;99;uygun
8;2;6;74;uygun
3;3;14;94;uygun
3;3;11;91;uygun
5;4;9;82;uygun
2;3;6;78;uygun
5;3;12;99;uygun
6;4;14;100;uygun
10;1;6;71;uygun
9;4;14;94;uygun
9;1;7;65;uygun
2;2;0;58;degil
6;1;9;70;uygun
2;1;12;90;uygun
1;2;9;79;uygun
9;1;7;62;uygun
3;4;3;72;uygun
7;1;3;52;uygun
8;2;3;67;uygun
6;4;5;79;uygun
0;2;6;77;degil
2;2;5;68;degil
8;3;0;50;uygun
0;3;11;98;uygun
8;2;7;64;uygun
7;2;12;83;uygun
0;2;9;83;uygun
5;3;14;95;uygun
4;3;10;75;uygun
5;1;12;90;uygun
9;1;6;66;uygun
4;2;5;65;uygun
5;4;5;85;uygun
4;4;4;64;uygun
10;3;5;68;uygun
4;3;11;91;uygun
3;3;8;77;uygun
2;2;9;70;uygun
2;4;8;77;uygun
3;1;14;84;uygun
8;2;9;68;uygun
1;1;7;64;degil
8;1;9;75;uygun
0;2;8;72;uygun
0;1;12;86;uygun
4;4;9;93;uygun
5;1;7;71;uygun
5;4;7;82;uygun
2;4;15;97;uygun
6;4;0;60;uygun
8;3;9;85;uygun
10;1;10;82;uygun
9;2;4;72;uygun
7;2;3;69;uygun
5;1;1;42;degil
7;3;7;81;uygun
4;3;2;70;uygun
7;4;3;63;uygun
9;1;11;70;uygun
3;1;6;64;degil
9;2;9;67;uygun
7;1;8;79;uygun
9;3;1;56;uygun
1;1;2;49;degil
4;2;3;52;degil
8;4;9;79;uygun
3;2;0;56;degil
10;2;6;59;uygun
5;4;1;53;uygun
0;2;4;59;degil
8;2;14;94;uygun
0;1;0;49;degil
4;1;2;48;degil
3;4;11;94;uygun
2;1;1;49;degil
5;1;0;48;degil
1;2;6;72;degil
2;3;4;71;uygun
4;1;0;43;degil
8;3;5;78;uygun
1;1;15;99;uygun
9;1;4;54;uygun
7;4;14;100;uygun
1;4;2;74;degil
10;4;11;88;uygun
4;3;6;82;uygun
6;2;15;100;uygun
7;1;10;68;uygun
0;1;9;68;degil
5;1;8;62;uygun
0;3;13;95;uygun
1;4;12;98;uygun
0;2;12;78;uygun
10;3;8;80;uygun
4;4;13;90;uygun
9;3;8;70;uygun
8;2;1;51;uygun
5;4;15;95;uygun
10;3;2;58;uygun
10;2;6;63;uygun
0;1;4;52;degil
0;2;1;60;degil
1;1;2;57;degil
8;3;9;83;uygun
2;4;5;70;uygun
0;4;12;93;uygun
4;3;6;81;uygun
6;4;8;83;uygun
5;4;0;50;degil
0;1;10;77;uygun
4;3;6;79;uygun
4;2;7;63;uygun
5;1;11;75;uygun
2;3;13;97;uygun
4;1;2;43;degil
6;2;3;64;uygun
4;2;9;79;uygun
4;3;5;79;uygun
4;2;9;83;uygun
9;1;15;92;uygun
9;2;6;63;uygun
2;1;12;87;uygun
0;1;13;87;uygun
4;2;3;65;degil
8;3;7;73;uygun
0;4;4;72;degil
2;2;0;59;degil
3;1;3;44;degil
0;1;2;47;degil
0;2;8;84;uygun
7;3;7;86;uygun
1;3;0;61;degil
7;1;10;74;uygun
6;1;5;60;uygun
9;3;8;77;uygun
9;4;6;76;uygun
1;2;3;53;degil
5;1;12;87;uygun
5;1;0;43;degil
2;3;11;94;uygun
10;2;1;63;uygun
1;3;11;96;uygun
0;2;4;58;degil
5;2;11;81;uygun
4;2;10;76;uygun
10;1;15;92;uygun
8;4;4;72;uygun
0;3;7;79;uygun
6;4;5;83;uygun
4;3;7;76;uygun
4;2;1;55;degil
1;1;2;54;degil
10;4;5;77;uygun
2;1;11;68;uygun
6;3;12;88;uygun
5;1;9;73;uygun
1;1;2;59;degil
5;4;5;76;uygun
1;2;5;62;degil
1;1;1;45;degil
1;2;6;78;uygun
10;3;11;90;uygun
2;1;1;49;degil
1;4;5;80;uygun
3;3;0;45;degil
8;3;2;63;uygun
5;4;1;59;uygun
0;1;6;57;degil
7;1;13;81;uygun
6;3;3;67;uygun
9;1;7;68;uygun
2;2;5;69;degil
0;4;11;99;uygun
4;2;9;81;uygun
3;1;3;63;degil
9;3;4;74;uygun
7;4;12;100;uygun
0;1;12;72;uygun
9;1;14;80;uygun
0;3;14;87;uygun
3;3;8;72;uygun
7;2;6;75;uygun
4;4;15;99;uygun
1;4;9;95;uygun
5;3;13;98;uygun
4;2;13;86;uygun
1;4;8;93;uygun
10;3;6;79;uygun
10;1;15;80;uygun
10;4;11;94;uygun
2;2;0;58;degil
8;2;15;99;uygun
6;2;11;81;uygun
6;1;7;62;uygun
10;4;3;60;uygun
5;4;2;64;uygun
7;1;15;89;uygun
3;4;13;90;uygun
7;1;12;89;uygun
3;1;6;63;degil
7;1;11;80;uygun
8;2;2;55;uygun
2;4;7;84;uygun
2;1;5;67;degil
10;4;4;80;uygun
1;2;3;57;degil
9;1;7;62;uygun
2;3;7;68;uygun
2;2;11;92;uygun
4;3;0;50;degil
4;4;8;94;uygun
1;4;13;90;uygun
9;2;4;57;uygun
5;4;3;61;uygun
4;3;5;75;uygun
5;1;5;57;uygun
0;1;1;39;degil
4;1;7;72;uygun
8;2;6;66;uygun
9;4;15;100;uygun
1;3;0;47;degil
0;4;4;72;degil
9;4;15;95;uygun
10;4;11;95;uygun
8;1;5;64;uygun
9;3;3;58;uygun
8;3;1;68;uygun
8;4;12;100;uygun
5;1;13;79;uygun
7;1;3;64;uygun
10;3;0;55;uygun
0;1;6;70;degil
9;1;1;41;degil
3;1;12;73;uygun
0;2;1;55;degil
7;4;8;82;uygun
0;3;4;77;degil
2;3;1;53;degil
3;2;10;81;uygun
7;4;8;75;uygun
5;3;8;71;uygun
9;1;0;37;degil
6;3;10;86;uygun
7;1;2;55;degil
1;2;3;57;degil
9;1;13;81;uygun
10;3;6;73;uygun
7;3;9;87;uygun
2;3;3;57;degil
6;2;1;43;degil
2;2;6;64;uygun
6;4;5;66;uygun
10;3;2;55;uygun
1;1;5;56;degil
9;2;10;73;uygun
5;3;14;91;uygun
2;3;5;60;uygun
2;2;11;73;uygun
8;4;4;76;uygun
6;2;3;68;uygun
4;2;9;85;uygun
9;1;11;77;uygun
6;1;14;94;uygun
8;4;0;52;uygun
0;3;9;82;uygun
6;2;5;69;uygun
5;4;1;63;uygun
9;1;12;87;uygun
8;2;2;62;uygun
0;3;13;89;uygun
3;1;7;60;uygun
8;1;9;69;uygun
3;1;13;75;uygun
9;4;13;100;uygun
2;3;5;79;uygun
8;2;2;57;uygun
1;4;15;100;uygun
3;4;6;68;uygun
5;4;3;62;uygun
1;1;13;90;uygun
7;3;8;81;uygun
7;4;14;100;uygun
0;2;4;56;degil
2;3;2;53;degil
9;2;1;53;uygun
8;3;10;87;uygun
4;2;1;46;degil
5;1;2;54;degil
3;4;1;63;degil
9;2;13;88;uygun
1;3;3;72;degil
10;4;1;70;uygun
7;4;15;100;uygun
10;3;9;86;uygun
5;2;8;84;uygun
4;1;1;47;degil
8;1;8;63;uygun
0;2;12;80;uygun
4;4;5;74;uygun
5;4;0;54;degil
4;4;3;61;uygun
5;4;14;97;uygun
5;2;13;82;uygun
6;4;0;67;uygun
3;3;13;92;uygun
10;4;15;100;uygun
7;1;5;62;uygun
6;4;13;100;uygun
8;2;12;95;uygun
6;1;3;60;degil
2;2;2;58;degil
2;2;2;61;degil
7;1;8;62;uygun
4;2;5;59;uygun
3;2;8;68;uygun
7;4;12;94;uygun
5;3;4;73;uygun
1;2;1;55;degil
3;2;7;62;uygun
10;2;4;64;uygun
3;4;1;73;uygun
5;3;3;72;uygun
5;1;8;61;uygun
0;4;14;100;uygun
7;4;3;60;uygun
5;3;12;93;uygun
2;3;11;96;uygun
8;4;11;99;uygun
1;1;15;100;uygun
10;4;15;100;uygun
7;3;15;100;uygun
9;1;11;88;uygun
2;3;12;92;uygun
4;1;14;87;uygun
5;2;13;85;uygun
9;3;3;57;uygun
5;3;1;66;uygun
3;4;12;86;uygun
2;3;11;80;uygun
3;3;14;99;uygun
0;2;5;69;degil
3;3;15;91;uygun
0;2;12;86;uygun
0;2;10;73;uygun
9;2;13;97;uygun
5;2;1;59;degil
4;1;11;70;uygun
10;4;6;85;uygun
3;1;2;48;degil
10;3;14;100;uygun
2;1;2;45;degil
0;1;4;53;degil
5;3;2;71;uygun
1;3;1;55;degil
7;3;9;76;uygun
9;1;8;75;uygun
4;1;1;42;degil
6;3;13;87;uygun
9;4;10;98;uygun
1;4;1;73;degil
7;2;12;77;uygun
1;3;14;97;uygun
3;2;7;73;uygun
0;4;14;100;uygun
4;2;8;75;uygun
8;3;6;83;uygun
0;3;2;61;degil
8;3;8;75;uygun
10;1;2;45;uygun
7;2;4;68;uygun
5;4;8;93;uygun
6;4;11;91;uygun
2;4;13;100;uygun
0;1;13;85;uygun
4;1;2;46;degil
1;3;6;79;uygun
4;4;15;100;uygun
7;1;15;98;uygun
10;3;11;93;uygun
8;4;0;61;uygun
1;2;3;60;degil
2;3;3;73;degil
2;1;6;58;degil
0;1;7;59;degil
7;3;0;50;uygun
5;3;4;67;uygun
7;1;6;53;uygun
10;2;11;87;uygun
8;4;3;69;uygun
4;2;12;94;uygun
2;3;3;71;degil
4;2;3;65;degil
4;1;11;86;uygun
4;3;5;80;uygun
2;4;6;81;uygun
10;1;1;55;uygun
9;1;14;95;uygun
3;4;4;76;uygun
8;4;3;73;uygun
9;2;14;85;uygun
8;3;13;90;uygun
1;4;15;100;uygun
7;4;12;88;uygun
7;3;2;66;uygun
